organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas
Solanum lycopersicum	378964	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solaneae	Solanum	Solanum lycopersicum	notClassified
Houttuynia cordata	972211	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Piperales	Saururaceae	notClassified	Houttuynia	Houttuynia cordata	notClassified
Streptococcus pneumoniae	699152	Bacteria	notClassified	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	notClassified	Streptococcus	Streptococcus pneumoniae	notClassified
Panax ginseng	524063	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Apiales	Araliaceae	notClassified	Panax	Panax ginseng	notClassified
Oryza sativa	709894	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryzeae	Oryza	Oryza sativa	notClassified
Mangifera indica	807634	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	notClassified	Mangifera	Mangifera indica	notClassified
Mangifera	203764	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Anacardiaceae	notClassified	Mangifera	notClassified	notClassified
Prunus avium	162547	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaleae	Prunus	Prunus avium	notClassified
Prunus laurocerasus	156912	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaleae	Prunus	Prunus laurocerasus	notClassified
Prunus persica var. nucipersica	200001	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaleae	Prunus	Prunus persica	Prunus persica var. nucipersica
Prunus persica	259054	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaleae	Prunus	Prunus persica	notClassified
Centaurea benedicta	821531	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cardueae	Centaurea	Centaurea benedicta	notClassified
Cnicus benedictus	821531	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cardueae	Centaurea	Centaurea benedicta	notClassified
Citrus reticulata	37136	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus reticulata	notClassified
Citrus deliciosa	83847	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus deliciosa	notClassified
Citrus grandis	838646	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus maxima	notClassified
Citrus maxima	838646	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus maxima	notClassified
Citrus paradisi	3942423	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus aurantium	notClassified
Citrus hystrix	322034	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus hystrix	notClassified
Citrus aurantifolia	3942427	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus aurantiifolia	notClassified
Citrus unshiu	1011450	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus unshiu	notClassified
Citrus trifoliata	306774	Eukaryota	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Rutaceae	notClassified	Citrus	Citrus trifoliata	notClassified
